Model,Nodes,Speed,Pause,PDR,Throughput,Delay,Loss,Overhead
rw,40,10,0,58.4795,122.053,1.61457,41.5205,0.469249
rw,40,10,10,66.6709,138.073,0.875087,33.3291,0.47226
rw,40,10,20,28.6318,59.321,1.38505,71.3682,1.73268
rw,40,10,30,92.6789,192.597,0.722404,7.32113,0.067394
rw,40,10,40,99.9488,207.759,0.0148517,0.0511967,0.00742733
rw,40,15,0,86.5865,179.992,0.1782,13.4135,0.126386
rw,40,15,10,61.6921,145.29,0.882101,38.3079,0.632365
rw,40,15,20,100,207.873,0.00580417,0,0.00486369
rw,40,15,30,99.9616,207.788,0.00993434,0.0383975,0.00755442
rw,40,15,40,48.0353,99.6909,1.23102,51.9647,0.513189
rw,40,20,0,82.3499,171.178,0.356112,17.6501,0.076935
rw,40,20,10,93.9332,195.262,0.137446,6.06681,0.0645865
rw,40,20,20,99.9232,207.741,0.0119145,0.0767951,0.0162675
rw,40,20,30,67.5029,140.361,0.623653,32.4971,0.3449
rw,40,20,40,0,0,0,100,0
rw,50,5,0,41.1622,86.512,1.33506,58.8378,2.34577
rw,50,5,10,64.2647,131.865,0.606565,35.7353,0.737303
rw,50,5,20,94.6371,196.752,0.384985,5.36286,0.0710035
rw,50,5,30,91.6165,192.667,0.59919,8.38346,0.0793518
rw,50,5,40,39.4983,81.666,1.09654,60.5017,2.27803
rw,50,10,0,83.9114,174.153,1.15399,16.0886,0.102959
rw,50,10,10,99.7696,207.416,0.0117291,0.230385,0.035279
rw,50,10,20,50.5952,105.42,1.09354,49.4048,1.13256
rw,50,10,30,99.7952,207.448,0.0131364,0.204787,0.0214185
rw,50,10,40,100,207.849,0.00580361,0,0.00639959
rw,50,15,0,82.5931,171.371,0.831767,17.4069,0.221137
rw,50,15,10,65.7494,138.158,0.918805,34.2506,0.531633
rw,50,15,20,91.8853,191.036,0.596366,8.11468,0.0650508
rw,50,15,30,50.4928,103.544,1.26723,49.5072,0.550824
rw,50,15,40,99.8976,207.646,0.0167644,0.102393,0.00717489
rw,50,20,0,60.4505,124.856,0.801962,39.5495,1.00254
rw,50,20,10,53.4622,114.15,0.945324,46.5378,1.37683
rw,50,20,20,100,207.856,0.00579991,0,0.00639959
rw,50,20,30,67.0677,139.08,0.948136,32.9323,0.471565
rw,50,20,40,99.9488,207.736,0.00920477,0.0511967,0.0124216
